place1,place2,cooccurrence_count,place1_count,place2_count,jaccard_similarity,prob_place2_given_place1,prob_place1_given_place2
SHOPPING,LODGING,38,89,39,0.4222222222222222,0.42696629213483145,0.9743589743589743
SERVICES,LODGING,38,96,39,0.3917525773195876,0.3958333333333333,0.9743589743589743
EDUCATION,BUSINESS,38,69,43,0.5135135135135135,0.5507246376811594,0.8837209302325582
BUSINESS,FINANCE,38,43,68,0.5205479452054794,0.8837209302325582,0.5588235294117647
SPORTS,LODGING,37,100,39,0.3627450980392157,0.37,0.9487179487179487
AUTOMOTIVE,LODGING,37,83,39,0.43529411764705883,0.4457831325301205,0.9487179487179487
FOOD_DRINK,LODGING,37,90,39,0.40217391304347827,0.4111111111111111,0.9487179487179487
TRANSPORTATION,LODGING,36,88,39,0.3956043956043956,0.4090909090909091,0.9230769230769231
ENTERTAINMENT_RECREATION,LODGING,36,82,39,0.4235294117647059,0.43902439024390244,0.9230769230769231
LODGING,PLACE_OF_WORSHIP,36,39,74,0.4675324675324675,0.9230769230769231,0.4864864864864865
GOVERNMENT,BUSINESS,36,66,43,0.4931506849315068,0.5454545454545454,0.8372093023255814
HEALTH_WELLNESS,LODGING,35,79,39,0.42168674698795183,0.4430379746835443,0.8974358974358975
LODGING,EDUCATION,35,39,69,0.4794520547945205,0.8974358974358975,0.5072463768115942
LODGING,GOVERNMENT,34,39,66,0.4788732394366197,0.8717948717948718,0.5151515151515151
SHOPPING,CULTURE,33,89,33,0.3707865168539326,0.3707865168539326,1.0
SERVICES,CULTURE,33,96,33,0.34375,0.34375,1.0
SPORTS,FACILITIES,32,100,32,0.32,0.32,1.0
SPORTS,CULTURE,32,100,33,0.31683168316831684,0.32,0.9696969696969697
SHOPPING,FACILITIES,32,89,32,0.3595505617977528,0.3595505617977528,1.0
SERVICES,FACILITIES,32,96,32,0.3333333333333333,0.3333333333333333,1.0
FOOD_DRINK,FACILITIES,32,90,32,0.35555555555555557,0.35555555555555557,1.0
AUTOMOTIVE,CULTURE,31,83,33,0.36470588235294116,0.37349397590361444,0.9393939393939394
FOOD_DRINK,CULTURE,31,90,33,0.33695652173913043,0.34444444444444444,0.9393939393939394
ENTERTAINMENT_RECREATION,FACILITIES,31,82,32,0.37349397590361444,0.3780487804878049,0.96875
HEALTH_WELLNESS,FACILITIES,31,79,32,0.3875,0.3924050632911392,0.96875
LODGING,FINANCE,31,39,68,0.40789473684210525,0.7948717948717948,0.45588235294117646
EDUCATION,FACILITIES,31,69,32,0.44285714285714284,0.4492753623188406,0.96875
TRANSPORTATION,FACILITIES,30,88,32,0.3333333333333333,0.3409090909090909,0.9375
TRANSPORTATION,CULTURE,30,88,33,0.32967032967032966,0.3409090909090909,0.9090909090909091
AUTOMOTIVE,FACILITIES,30,83,32,0.35294117647058826,0.3614457831325301,0.9375
