model,term,coefficient,std_error,z_value,p_value
high_larceny_top50,PC_2,4.534642252258068e-18,0.19406801152129566,2.3366252978587704e-17,1.0
high_larceny_top50,PC_3,-5.3678533334241543e-17,0.26586760684852107,-2.0189948662991902e-16,0.9999999999999999
high_larceny_top50,PC_4,-1.36403603759542e-17,0.2966909439808927,-4.5974980540129526e-17,1.0
high_larceny_top50,PC_5,1.3908478872148554e-17,0.30967998498252375,4.491242426575762e-17,1.0
high_larceny_top50,PC_6,2.3142903706022862e-17,0.3191141150525828,7.252234424732179e-17,0.9999999999999999
high_larceny_top50,PC_7,-4.9536833175700845e-17,0.35362724673680285,-1.4008205994536966e-16,0.9999999999999999
high_larceny_top50,PC_8,-9.194480592245511e-17,0.38728218910206047,-2.3741036512842294e-16,0.9999999999999998
high_larceny_top50,PC_9,1.156127385692966e-16,0.41917298512077256,2.7581152095473455e-16,0.9999999999999998
high_larceny_top50,PC_10,1.475337277510049e-16,0.43921275912486357,3.359049223546409e-16,0.9999999999999998
high_violence_top50,(Intercept),-3.0911926560032548,0.04156315392272068,-74.37338999227006,0.0
high_violence_top50,PC_1,-5.574398356754141e-18,0.03751336817243114,-1.4859765007320269e-16,0.9999999999999999
high_violence_top50,PC_2,3.1300894927659353e-18,0.10760855486742145,2.908773839238289e-17,1.0
high_violence_top50,PC_3,-2.7389155013014037e-17,0.14742063225545898,-1.8578915714831916e-16,0.9999999999999999
high_violence_top50,PC_4,-5.428491277327896e-17,0.16451183002167033,-3.299757395327028e-16,0.9999999999999998
high_violence_top50,PC_5,1.9568800839029827e-17,0.171714108853418,1.1396151993389509e-16,0.9999999999999999
high_violence_top50,PC_6,1.87744526646481e-17,0.17694522909478227,1.0610318662274526e-16,0.9999999999999999
high_violence_top50,PC_7,-1.4818940809723336e-17,0.19608237691927258,-7.55750773860943e-17,0.9999999999999999
high_violence_top50,PC_8,-8.297613313749415e-17,0.21474366830718544,-3.8639618011367335e-16,0.9999999999999997
high_violence_top50,PC_9,8.542826448754933e-17,0.23242676015856337,3.675491773377106e-16,0.9999999999999997
high_violence_top50,PC_10,1.771211900745969e-16,0.24353859205474016,7.272818183772097e-16,0.9999999999999994
high_drugs_top50,(Intercept),-5.393191383231064,0.1261160991209976,-42.76370281685257,0.0
high_drugs_top50,PC_1,-1.3102889960214365e-18,0.1138277347189131,-1.15111576212693e-17,1.0
high_drugs_top50,PC_2,1.3322891021708353e-18,0.3265192818899215,4.080276957793831e-18,1.0
high_drugs_top50,PC_3,-1.8485260713495543e-17,0.44732204645918683,-4.1324278246102764e-17,1.0
high_drugs_top50,PC_4,-3.5688081134098406e-17,0.4991822877581943,-7.149308380786508e-17,0.9999999999999999
high_drugs_top50,PC_5,5.5861714348725616e-18,0.5210363393715683,1.0721270308343842e-17,1.0
high_drugs_top50,PC_6,5.3732358214559305e-18,0.5369092560443598,1.0007716873877082e-17,1.0
high_drugs_top50,PC_7,-3.869393584197828e-17,0.5949775738725518,-6.503427614948523e-17,1.0
high_drugs_top50,PC_8,-6.515494900694305e-17,0.6516019888238264,-9.999194312551275e-17,0.9999999999999999
high_drugs_top50,PC_9,4.503992962913101e-17,0.7052582288878169,6.386303311931347e-17,1.0
high_drugs_top50,PC_10,2.1128155147779376e-16,0.7389751334191651,2.8591158473792597e-16,0.9999999999999998
high_drugs_jenks,(Intercept),-6.97498245076915,0.2774408797917514,-25.1404279571367,1.798448678306037e-139
high_drugs_jenks,PC_1,-4.377191568239844e-19,0.25040789467186475,-1.7480245876336006e-18,1.0
high_drugs_jenks,PC_2,2.1835095909290676e-18,0.7183047800233436,3.039809356215209e-18,1.0
high_drugs_jenks,PC_3,-5.098557120674969e-17,0.9840569363060827,-5.181160695654205e-17,1.0
