place_type,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
hair_care,-0.9714469813570288,0.07898548436451779,0.05074628437269149,-0.04604770705475356,-0.013026102286567245,0.049798337075028405,0.07999317969902006,0.04331020704012902,-0.000491288870684312,0.0036282330293959594
doctor,-0.9156419141242822,-0.24102336353378337,0.20029349939666372,0.06935366242046469,-0.04077838132427977,-0.009498893120563002,0.02414338940589569,0.05602368408530706,-0.09141479084498394,-0.035991642995101915
lodging,-0.920921515054979,0.15566300861417892,0.18389183646151092,0.1584438595835345,-0.06607031081737305,0.1446919686130144,0.05044701825438425,0.01818394560762591,0.027061512243947903,-0.028113041005953715
accounting,-0.9402663206716975,-0.06200933194170116,0.09881710049072924,-0.1200349055376371,0.19495587011021512,0.007084529014117415,-0.0655229634389245,0.10557926232277545,0.04768144125936395,0.058340112090717544
consultant,-0.9849974120790198,0.05586991868262212,0.07664707284328953,0.03225999956810759,0.08050127025945118,0.05370912898533807,0.002369071177638037,0.011344361850838655,0.03070464023783684,-0.01316911560136524
physiotherapist,-0.8760002687109639,-0.09103964501305978,0.20512477491755193,-0.0098586902769313,0.03698970098934551,-0.12783269664181746,0.04793918335072457,0.11037835199240004,-0.04172757273885794,-0.02049998228263212
point_of_interest,-0.985534070729103,0.04565719460603332,-0.008761719262904954,0.022247397368654245,0.036533935096456596,0.014156945136750169,-0.007892443519112497,0.0516709782954884,0.006196994065743909,0.026036865733877007
church,-0.9584928366781058,0.17979609545177605,0.03604617270083809,-0.027513350248952087,-0.017771858406307836,0.021475073737856638,0.07264336888848161,0.04205879980794501,0.07377435083813995,0.053870108968349775
place_of_worship,-0.9694864131401589,0.1231750702216184,0.04330903676591717,-0.03625780111020311,0.0019057314814199182,0.035201681597749605,0.08313310095900109,0.0375212021868882,0.06328316630662889,0.0320469993858604
real_estate_agency,-0.9694258821520474,0.12813116511672262,0.03851656513082522,-0.013527030271948718,-0.12193113627835188,-0.034621082238219095,0.017238959486409362,0.03889077677001625,0.02247398396919283,0.013056694983635236
mosque,-0.716905495861613,-0.28752755574105465,-0.04231095698875885,-0.1410995003310268,0.28382752739565714,0.2469859208003766,0.19378442152787625,0.11632595085621784,0.002633328401071434,-0.024849286775598643
laundry,-0.9641731446667248,0.008963563298429383,-0.07010614622006288,0.001189496229338331,-0.03799981368555875,0.03489058822586479,-0.048133853704434244,0.06812107361559624,0.04911345229034127,-0.037700140858457576
nail_salon,-0.9434212744540609,-0.16464712572043474,0.044685569112313396,-0.02719944321467271,0.1242321358577304,0.11281253761991167,0.023951139463939293,0.059268331883022454,0.004179973056796175,0.01682611042079891
wellness_center,-0.8459199293508092,0.2180496749891184,0.0039240036475762154,-0.15101745780250664,-0.1389453003147017,-0.014899393939388455,-0.006507303668990272,0.14343159496557772,-0.025900048818712464,-0.09946685495286856
barber_shop,-0.9469062274884941,0.06464830568122087,0.0751704323991153,-0.03559339044551658,0.0763980769066027,0.05810831872343727,0.05889848566712489,0.06056835692828655,0.025305236175635702,-0.009423915128596303
store,-0.9858506221645805,0.00749136695349011,-0.06657455341308763,0.09223805674787378,0.01651173627852304,0.020169095319515877,-0.016357694358326194,0.029429545554386784,0.01685965460490973,0.019750075585616745
discount_store,-0.8903906490825108,-0.24994869742608725,-0.01755865862953731,-0.14352812032871506,-0.039592365871595606,-0.05870651732891504,-0.012108765407241453,-0.04159694068637954,-0.09506154850157154,0.017118542859732497
convenience_store,-0.929808868193225,0.1878892665086195,-0.06910571306278504,-0.16618574051887813,0.01897830334972838,-0.002842493345163421,-0.07878755011501673,-0.1041807916005882,0.010260847969399897,-0.014040061854003054
garden,-0.7959512311057719,-0.2982644093452827,-0.1992019794372433,-0.1773357831469717,-0.20853381453365885,0.17173364758617227,0.04394488980760305,-0.03311191229065012,0.06990148656627772,-0.09953225472154197
park,-0.9723061996369983,-0.105598717438608,-0.043881553460939256,0.023767046827188932,-0.023293295073056115,0.018823244911583995,0.020609439827868985,-0.027629417808882454,-0.01731950220607596,-0.03014918944932616
travel_agency,-0.9104047513992907,-0.01738656635844651,0.03849344441153881,-0.08785447726133033,0.18804739406540882,-0.07292363125299438,-0.13881531072123063,0.11975670896665669,0.024621891055004137,-0.03151601951384195
electrician,-0.8559211884842064,0.31228580015862173,-0.005182751780984403,0.17677402030353356,0.013605900440836994,0.10327213185854094,-0.06290007285181351,0.01780468914726134,-0.0169278255807446,0.10200185285071514
painter,-0.689618929640733,-0.006003089079384052,0.06756276373663421,-0.19212659439712973,0.29646258447000123,-0.11313837963102016,0.2128732246725756,0.04715288805511622,-0.16540051015295484,0.15319946680993832
